0	-0.544021
0.01	-0.543601
0.02	-0.542341
0.03	-0.540234
0.04	-0.537272
0.05	-0.533444
0.06	-0.528735
0.07	-0.523125
0.08	-0.516593
0.09	-0.509115
0.1	-0.500661
0.11	-0.4912
0.12	-0.480699
0.13	-0.46912
0.14	-0.456423
0.15	-0.442567
0.16	-0.427507
0.17	-0.411197
0.18	-0.393589
0.19	-0.374636
0.2	-0.354287
0.21	-0.332496
0.22	-0.309213
0.23	-0.284393
0.24	-0.257994
0.25	-0.229974
0.26	-0.200301
0.27	-0.168946
0.28	-0.135889
0.29	-0.101118
0.3	-0.0646338
0.31	-0.0264488
0.32	0.0134099
0.33	0.0548983
0.34	0.0979544
0.35	0.142495
0.36	0.188416
0.37	0.235586
0.38	0.283852
0.39	0.333028
0.4	0.382904
0.41	0.433237
0.42	0.483754
0.43	0.534153
0.44	0.584098
0.45	0.633228
0.46	0.68115
0.47	0.72745
0.48	0.771687
0.49	0.813405
0.5	0.852132
0.51	0.887389
0.52	0.918694
0.53	0.945569
0.54	0.967549
0.55	0.984189
0.56	0.995071
0.57	0.999814
0.58	0.998081
0.59	0.989592
0.6	0.974122
0.61	0.95152
0.62	0.921707
0.63	0.884683
0.64	0.840535
0.65	0.789436
0.66	0.731645
0.67	0.667514
0.68	0.597476
0.69	0.52205
0.7	0.44183
0.71	0.357482
0.72	0.269732
0.73	0.179361
0.74	0.0871888
0.75	-0.00593286
0.76	-0.0991349
0.77	-0.191543
0.78	-0.282288
0.79	-0.370524
0.8	-0.455434
0.81	-0.536242
0.82	-0.612229
0.83	-0.682734
0.84	-0.747167
0.85	-0.805015
0.86	-0.855845
0.87	-0.89931
0.88	-0.935146
0.89	-0.963179
0.9	-0.98332
0.91	-0.995562
0.92	-0.99998
0.93	-0.996723
0.94	-0.98601
0.95	-0.968123
0.96	-0.943402
0.97	-0.912235
0.98	-0.875053
0.99	-0.832322
1	-0.784535
1.01	-0.732202
1.02	-0.675849
1.03	-0.616007
1.04	-0.553206
1.05	-0.487969
1.06	-0.420811
1.07	-0.352229
1.08	-0.282701
1.09	-0.212681
1.1	-0.1426
1.11	-0.0728583
1.12	-0.00382772
1.13	0.0641503
1.14	0.130766
1.15	0.19574
1.16	0.258827
1.17	0.319809
1.18	0.378501
1.19	0.434744
1.2	0.48841
1.21	0.539394
1.22	0.587619
1.23	0.633028
1.24	0.675587
1.25	0.715283
1.26	0.752117
1.27	0.786109
1.28	0.817294
1.29	0.845718
1.3	0.87144
1.31	0.894526
1.32	0.915053
1.33	0.933104
1.34	0.948768
1.35	0.962139
1.36	0.973312
1.37	0.982388
1.38	0.989468
1.39	0.994653
1.4	0.998046
1.41	0.999748
1.42	0.99986
1.43	0.99848
1.44	0.995706
1.45	0.991633
1.46	0.986353
1.47	0.979954
1.48	0.972524
1.49	0.964146
1.5	0.954899
1.51	0.944859
1.52	0.9341
1.53	0.922692
1.54	0.9107
1.55	0.898187
1.56	0.885212
1.57	0.871832
1.58	0.858099
1.59	0.844063
1.6	0.82977
1.61	0.815264
1.62	0.800585
1.63	0.785772
1.64	0.77086
1.65	0.755881
1.66	0.740867
1.67	0.725844
1.68	0.71084
1.69	0.695877
1.7	0.680978
1.71	0.666162
1.72	0.651449
1.73	0.636853
1.74	0.622391
1.75	0.608076
1.76	0.59392
1.77	0.579934
1.78	0.566128
1.79	0.55251
1.8	0.539088
1.81	0.525868
1.82	0.512856
1.83	0.500057
1.84	0.487474
1.85	0.475112
1.86	0.462972
1.87	0.451058
1.88	0.439369
1.89	0.427907
1.9	0.416673
1.91	0.405667
1.92	0.394888
1.93	0.384335
1.94	0.374007
1.95	0.363904
1.96	0.354023
1.97	0.344362
1.98	0.334919
1.99	0.325693
2	0.31668
2.01	0.307877
2.02	0.299283
2.03	0.290894
2.04	0.282706
2.05	0.274718
2.06	0.266926
2.07	0.259326
2.08	0.251915
2.09	0.244691
2.1	0.237648
2.11	0.230785
2.12	0.224098
2.13	0.217583
2.14	0.211236
2.15	0.205056
2.16	0.199037
2.17	0.193177
2.18	0.187472
2.19	0.181919
2.2	0.176515
2.21	0.171256
2.22	0.166139
2.23	0.161161
2.24	0.156319
2.25	0.151609
2.26	0.147028
2.27	0.142574
2.28	0.138244
2.29	0.134034
2.3	0.129941
2.31	0.125963
2.32	0.122097
2.33	0.11834
2.34	0.114689
2.35	0.111142
2.36	0.107696
2.37	0.104349
2.38	0.101097
2.39	0.0979396
2.4	0.0948731
2.41	0.0918953
2.42	0.0890041
2.43	0.086197
2.44	0.0834721
2.45	0.0808269
2.46	0.0782596
2.47	0.0757679
2.48	0.0733499
2.49	0.0710035
2.5	0.0687269
2.51	0.0665182
2.52	0.0643755
2.53	0.0622971
2.54	0.0602811
2.55	0.0583258
2.56	0.0564297
2.57	0.054591
2.58	0.0528081
2.59	0.0510795
2.6	0.0494038
2.61	0.0477793
2.62	0.0462047
2.63	0.0446785
2.64	0.0431995
2.65	0.0417661
2.66	0.0403773
2.67	0.0390316
2.68	0.0377278
2.69	0.0364648
2.7	0.0352413
2.71	0.0340562
2.72	0.0329085
2.73	0.0317969
2.74	0.0307206
2.75	0.0296783
2.76	0.0286692
2.77	0.0276922
2.78	0.0267465
2.79	0.025831
2.8	0.024945
2.81	0.0240874
2.82	0.0232575
2.83	0.0224544
2.84	0.0216774
2.85	0.0209256
2.86	0.0201983
2.87	0.0194947
2.88	0.0188142
2.89	0.018156
2.9	0.0175194
2.91	0.0169038
2.92	0.0163086
2.93	0.0157331
2.94	0.0151766
2.95	0.0146387
